run_id,date,team,owner,git_commit,scene_tag,dataset_tag,policy_tag,config_path,gpu_model,gpu_vram_gb,hourly_price_usd,rental_type,runtime_minutes,setup_minutes,artifact_sync_status,status,notes
week8_final_vast_42853129_20260627,2026-06-27,workstream1,codex,8dd46a1fa004,scene-final-v1.0.0,not_applicable,not_applicable,configs/renderers/week8_final_validation.yaml,NVIDIA GeForce RTX 5090,32,0.501111,on-demand-vastai,39.41,34,synced,success,"Vast instance 42853129; Isaac Sim 5.1.0 viewport capture backend; six synced Week 8 final render artifacts plus contact sheet; estimated spend 0.33 USD under 5 USD cap."
vast_week6_team2_20260627_42852996,2026-06-27,team2_synthetic_data_perception,Codex,5136ca5,scene-beta-v0.2.0,week6-beta-data-v0.2.0,not_applicable,configs/replicator/week6_beta_dataset.yaml,RTX 4090,24,0.43,on_demand,62.6,47.0,synced,success,"Rendered 60 Week 6 dev_test path-traced RGB frames with Isaac Sim 6.0 PathTracing spp=32 on Vast instance 42852996; annotations remain contract proxy labels; artifacts synced locally."
vast_week7_team2_20260627_42866053,2026-06-27,team2_synthetic_data_perception,Codex,34ca97c,scene-rc-v0.2.1,week7-rc-data-v0.2.1,not_applicable,configs/replicator/week7_rc_dataset.yaml,RTX 4090,24,0.38,on_demand,13.65,6.5,synced,success,"Rendered 60 Week 7 RC dev_test path-traced RGB frames with Isaac Sim 6.0 PathTracing spp=32 on Vast instance 42866053; artifacts synced locally; path-traced blank count 0; estimated spend 0.09 USD under 5 USD cap."
week9_final_vast_42878885_20260627,2026-06-27,workstream1,codex,c44f1470f7db,scene-final-v1.0.0,not_applicable,not_applicable,configs/renderers/week9_final_evaluation_support.yaml,NVIDIA GeForce RTX 4090,24,0.394444,on-demand-vastai,18.68,13.43,synced,success,"Vast instance 42878885; Isaac Sim 5.1.0 viewport capture backend; 24 Week 9 final evaluation renders plus contact sheet synced; blank count 0; duplicate hash count 0; estimated spend 0.12 USD under 5 USD cap."
week9_team3_final_eval_run1_preflight_20260627,2026-06-27,team3_autonomous_inspection,codex,d5e2161,scene-final-v1.0.0,week8-final-data-v1.0.0,scripted_baseline,configs/experiments/week9_final_evaluation_run1.yaml,not_allocated,0,0.0,preflight_only,0.0,0.0,not_applicable,failed,"No paid Vast instance launched; preflight found missing vastai CLI and no Team 3 Isaac final policy runner. Expected Week 9 scripted rows are retained as documented failed rows; no official GPU policy result is claimed."
vast_week9_team2_20260627_42889311,2026-06-27,team2_synthetic_data_perception,Codex,d5e2161,scene-final-v1.0.0,week8-final-data-v1.0.0,not_applicable,configs/perception/week9_final_perception_run1.yaml,NVIDIA GeForce RTX 4090,24,0.38,on-demand-vastai,12.0,0.0,synced,success,"Vast instance 42889311; Isaac Sim 5.1.0 PathTracing spp=32; patched renderer for Isaac 5.1 pose API compatibility after an initial no-output retry; 120 Week 9 locked final-test path-traced RGB frames synced locally; estimated spend 0.08 USD under 5 USD cap."
week9_team3_final_eval_run1_vast_42892783_20260627,2026-06-27,team3_autonomous_inspection,codex,aeba615d834c,scene-final-v1.0.0,week8-final-data-v1.0.0,scripted_baseline,configs/experiments/week9_final_evaluation_run1.yaml,NVIDIA GeForce RTX 4090,24,0.46,on-demand-vastai,5.47,4.76,synced,success,"Vast instance 42892783; Team 3 Week 9 scripted final evaluation matrix executed on the GPU instance; 24 generated rows and 12 paired R2P rows synced locally; estimated spend 0.04 USD under 5 USD cap."
week10_team3_final_policy_isaac_42896511_20260627,2026-06-27,team3_autonomous_inspection,codex,89dc3c3+week10-local,scene-final-v1.0.0,week8-final-data-v1.0.0,scripted_baseline+learned_state_bc_v0_1,configs/experiments/week10_final_results_lock.yaml,NVIDIA GeForce RTX 4090,24,0.47,on-demand-vastai,18.27,8.7,synced,success,"Vast instance 42896511; Isaac Sim 5.1.0 container loaded the locked Week 10 USD scene and executed 40 supported Team 3 policy-flight rollout rows; learned mirror-inspection rows remain documented unsupported failures; viewport PNG capture was skipped after this host's RTX viewport startup crashed; estimated spend 0.143 USD under 20 USD cap."
week11_team3_visual_rerun_42901494_20260627,2026-06-27,team3_autonomous_inspection,codex,9944a7602234+week11-local,scene-final-v1.0.0,week8-final-data-v1.0.0,visual_storyboard_traceability,configs/experiments/week11_release_package.yaml,NVIDIA GeForce RTX 4090,24,0.483333,on-demand-vastai,48.55,8.32,synced,failed,"Vast instance 42901494; Isaac Sim 5.1.0 container reached app ready for Week 11 visual storyboard capture, then crashed in gpu.foundation/scenerenderer RTX before frame capture; blocker manifest and crash logs synced locally; active instances verified zero; estimated spend 0.391 USD under 10 USD cap."
week12_team3_visual_recovery_42913976_20260627_attempt2_replicator,2026-06-27,team3_autonomous_inspection,codex,e162a264d91d+week12-local,scene-final-v1.0.0,week8-final-data-v1.0.0,visual_storyboard_traceability,configs/experiments/week12_final_evaluation_package.yaml,NVIDIA GeForce RTX 4090,24,0.417778,on-demand-vastai,16.60,6.8,synced,failed,"Vast instance 42913976; Isaac Sim 5.1.0 on driver 580.119.02 loaded the locked Week 10 USD scene for Week 12 visual recovery; viewport capture timed out and Replicator BasicWriter timed out then crashed during shutdown; blocker manifest and logs synced locally; active instances verified zero; estimated spend 0.116 USD under 25 USD cap."
